fiscal_year,rev_exp,category,subcategory,amount
2011,REVENUES,Ad Valorem Taxes,Current Year Ad Valorem Taxes,66952303
2011,REVENUES,Ad Valorem Taxes,Prior Year Ad Valorem Taxes,251720
2011,REVENUES,Ad Valorem Taxes,Penalties and Interest,145545
2011,REVENUES,Other Taxes & Licenses,ABC Revenue,475158
2011,REVENUES,Other Taxes & Licenses,1 Cent Sales Tax-Article 39,10915129
2011,REVENUES,Other Taxes & Licenses,1/2 Cent Sales Tax-Articles 40 & 42,9662557
2011,REVENUES,Other Taxes & Licenses,Article 44 Hold Harmless,3119263
2011,REVENUES,Other Taxes & Licenses,Privilege Licenses,1596040
2011,REVENUES,Other Taxes & Licenses,Occupancy Tax,724825
2011,REVENUES,Other Taxes & Licenses,Licenses,6985
2011,REVENUES,Other Taxes & Licenses,Rental Vehicle Tax,80020
2011,REVENUES,Intergovernmental,Utility Franchise Taxes,4532428
2011,REVENUES,Intergovernmental,Wine and Beer Tax,649129
2011,REVENUES,Intergovernmental,Telecommunications Sales Tax,1718176
2011,REVENUES,Intergovernmental,Gov's Hwy Program Grant,
2011,REVENUES,Intergovernmental,High School Resource Officer Reimb.,151352
2011,REVENUES,Intergovernmental,Other Restricted/Grants,399099
2011,REVENUES,Permits and Fees,Building Permits,2096294
2011,REVENUES,Permits and Fees,Pavement/Curb Cuts,10488
2011,REVENUES,Permits and Fees,Rezoning/Var. Request Fees,27250
2011,REVENUES,Permits and Fees,Site/Final Plan Review Fees,67799
2011,REVENUES,Permits and Fees,Inspection Fees,286895
2011,REVENUES,Permits and Fees,Sign Permits,18845
2011,REVENUES,Permits and Fees,Fire Permits,39941
2011,REVENUES,Permits and Fees,Watershed Maint. Fees,158599
2011,REVENUES,Permits and Fees,Traffic Impact Analysis Reimb.,130412
2011,REVENUES,Permits and Fees,Cell Tower Study Fees,4000
2011,REVENUES,Permits and Fees,Grading Permits,78710
2011,REVENUES,Sales and Service,Solid Waste and Recycling,6684733
2011,REVENUES,Sales and Service,Used Appliance Disposal,26096
2011,REVENUES,Sales and Service,Recreation Program Fees,930474
2011,REVENUES,Sales and Service,Recreation Retail Sales,35566
2011,REVENUES,Sales and Service,Dog Park,35218
2011,REVENUES,Sales and Service,Skate Park,156075
2011,REVENUES,Sales and Service,Ticket Sales,34226
2011,REVENUES,Sales and Service,Athletic Fees,813879
2011,REVENUES,Sales and Service,USA Baseball,440976
2011,REVENUES,Sales and Service,Tennis,1176769
2011,REVENUES,Sales and Service,Arts & Crafts,190422
2011,REVENUES,Sales and Service,Wake Med Soccer Park,543986
2011,REVENUES,Sales and Service,Cary Arts Center,103508
2011,REVENUES,Sales and Service,Cary Theater,
2011,REVENUES,Sales and Service,Downtown Special Events,
2011,REVENUES,Sales and Service,Festivals,59669
2011,REVENUES,Sales and Service,Teen Council,
2011,REVENUES,Sales and Service,Recreational Facility Rentals,269955
2011,REVENUES,Sales and Service,Cultural Arts Rentals,32025
2011,REVENUES,Sales and Service,Rents-Fire,106560
2011,REVENUES,Sales and Service,Hazardous Waste Reimb.,-22126
2011,REVENUES,Investment Earnings,Unrealized Gains/Losses,-232239
2011,REVENUES,Investment Earnings,Net Investment Earnings,756821
2011,REVENUES,Miscellaneous,Miscellaneous Revenues,624200
2011,REVENUES,Miscellaneous,Landfill Excise Tax,110446
2011,REVENUES,Miscellaneous,Video Programming Sales Tax,1059355
2011,REVENUES,Miscellaneous,PEG Channel Distribution,21589
2011,REVENUES,Miscellaneous,Court Costs,27987
2011,REVENUES,Miscellaneous,Donations / Contributions,68466
2011,REVENUES,Miscellaneous,Recycled Goods,411284
2011,REVENUES,Miscellaneous,Disposable Rebate,304658
2011,REVENUES,Miscellaneous,Police Reports/Fines,5
2011,REVENUES,Miscellaneous,Red Light Ticket,13078
2011,REVENUES,Miscellaneous,Cellular Tower Lease Proceeds,817456
2011,REVENUES,Miscellaneous,Morrisville Reimbursement,5158
2011,REVENUES,Miscellaneous,NCDOT Traffic Signal Reimbursement,776250
2011,REVENUES,Miscellaneous,NCDOT / Amtrak Depot Lease,
2011,EXPENDITURES,General Government,Legislative-Town Council,672830
2011,EXPENDITURES,General Government,Legislative-Boards & Comm.,141259
2011,EXPENDITURES,General Government,Legislative-Town Clerk,322705
2011,EXPENDITURES,General Government,Legislative-Legal,723135
2011,EXPENDITURES,General Government,Town Manager's Office,696636
2011,EXPENDITURES,General Government,Sustainability Office,95133
2011,EXPENDITURES,General Government,Budget Office,558016
2011,EXPENDITURES,General Government,Public Information Office,492562
2011,EXPENDITURES,General Government,Finance-Accounting,2158073
2011,EXPENDITURES,General Government,Finance-Purchasing,870270
2011,EXPENDITURES,General Government,Self Insurance (Small Claims),410406
2011,EXPENDITURES,General Government,Technology Services Capital Leases,958419
2011,EXPENDITURES,General Government,Capital Lease Proceeds (contra exp),-958419
2011,EXPENDITURES,General Government,Technology Services,5698901
2011,EXPENDITURES,General Government,Less Reimb. from Soccer Park,-7218
2011,EXPENDITURES,General Government,Human Resources,1490254
2011,EXPENDITURES,General Government,Self Insurance (Workman's Comp),1657752
2011,EXPENDITURES,Development,Planning,2197266
2011,EXPENDITURES,Development,Affordable/Empl Housing Fund,379215
2011,EXPENDITURES,Development,Development Support,
2011,EXPENDITURES,Development,Inspections & Permits,3776225
2011,EXPENDITURES,Infrastructure,Transportation and Facilities,
2011,EXPENDITURES,Infrastructure,Water Resources - Infratructure,
2011,EXPENDITURES,Infrastructure,Engineering,5843003
2011,EXPENDITURES,Infrastructure,WWRWMF Costs,-91540
2011,EXPENDITURES,Infrastructure,Reimb. from Utility Fund,-2004561
2011,EXPENDITURES,Public Safety,Police,19353190
2011,EXPENDITURES,Public Safety,Less Reimb. from Downtown Ops,
2011,EXPENDITURES,Public Safety,Police Separation Fund,236975
2011,EXPENDITURES,Public Safety,Fire,17551975
2011,EXPENDITURES,PRCR,Administration,1494501
2011,EXPENDITURES,PRCR,Recreation Programs,2770437
2011,EXPENDITURES,PRCR,Cultural Arts,1593664
2011,EXPENDITURES,PRCR,Festival,107338
2011,EXPENDITURES,PRCR,Teen Council,
2011,EXPENDITURES,PRCR,Amphitheatre,576278
2011,EXPENDITURES,PRCR,Cary Arts Center,32872
2011,EXPENDITURES,PRCR,Cary Theater,
2011,EXPENDITURES,PRCR,Downtown Special Events,
2011,EXPENDITURES,PRCR,Tennis Center,1516223
2011,EXPENDITURES,PRCR,Soccer Park,1234778
2011,EXPENDITURES,PRCR,Skate Park,220811
2011,EXPENDITURES,PRCR,USA Baseball,871135
2011,EXPENDITURES,PRCR,Athletics,1441536
2011,EXPENDITURES,Public Works and Utilities,Administration,1888698
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-1237197
2011,EXPENDITURES,Public Works and Utilities,Facilities Management,14098640
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Amphitheatre,-293571
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Downtown Ops,
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Tennis,-257113
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Skate Park,-9143
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Soccer Park,-877925
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from USA Baseball,-578105
2011,EXPENDITURES,Public Works and Utilities,Operations,12033294
2011,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-7818319
